median,average,medianCount,pointCount,x,y,zoomLevel
2.37655093048221,12.7220689734153,22220.7512000087,9350.0,34716,19049,16
2.22559300427208,8.16288939323746,28834.7829633491,12956.0,34716,19048,16
2.33513622974599,5.0041485865978,16166.1481185315,6923.0,34717,19049,16
1.87828798738844,3.45581325750783,9333.21300933316,4969.0,34717,19048,16
2.61413758651898,18.6276605163195,6838.58392633366,2616.0,34733,19051,16
2.46335567802432,9.10448661232115,9015.881781569,3660.0,34733,19050,16
3.01924201146238,7.07273400308385,31019.6924257645,10274.0,34732,19051,16
3.09898969224022,6.96074440034757,51471.1197984178,16609.0,34732,19050,16
2.94618941849605,6.26671888184366,72237.6183521046,24519.0,34707,19043,16
2.6274846857644,6.06083838000756,22422.9543083134,8534.0,34707,19042,16
2.91132398373357,9.27947467187165,8256.5148178684,2836.0,34706,19043,16
3.11483423403528,5.83631503545905,21037.5904166743,6754.0,34706,19042,16
0.646557079969792,0.646557079969792,11.6380274394563,18.0,34713,19043,16
2.25386261977204,2.5836814126318,1273.4323801712,565.0,34713,19042,16
2.75506709440011,6.24443737670172,3986.58208559697,1447.0,34712,19043,16
2.00493493522742,2.4247812589648,1491.6715918092,744.0,34712,19042,16
3.05221855758384,21.2454913177509,2515.02809144909,824.0,34714,19057,16
2.90432286000247,6.54015130382845,32319.3047861074,11128.0,34714,19056,16
2.13522814555918,8.53930439854756,3909.60273451886,1831.0,34715,19057,16
2.49029569012597,6.5787764542421,17867.8715766538,7175.0,34722,19053,16
2.48221555830341,19.8459188427111,20527.9226671692,8270.0,34722,19052,16
2.81395073970407,8.42814792247066,56518.2006069563,20085.0,34723,19053,16
37.3906392608747,48.1048259978944,56272.9120876164,1505.0,34725,19047,16
2.84984974113474,3.78279202811923,34158.298997241,11986.0,34725,19046,16
4.23431175413105,11.9098866791864,63091.2451365527,14900.0,34724,19047,16
2.69989628825351,25.90275801596,15281.4129915149,5660.0,34724,19046,16
3.1675555491903,6.2111420974668,39236.5105878203,12387.0,34715,19055,16
1.66565701541625,3.51116694259807,12031.0406223516,7223.0,34715,19054,16
3.13580495094849,6.25507310344093,51398.9789509967,16391.0,34714,19055,16
2.44144864681358,5.3534373801038,11374.7092455045,4659.0,34714,19054,16
3.75167757306552,5.8991718186845,23282.9110184446,6206.0,34711,19047,16
3.70051048002836,5.90959146882541,37763.7094486894,10205.0,34711,19046,16
3.92184805478673,6.55193442431224,82072.5142425218,20927.0,34710,19047,16
3.88858823778299,7.44679323482987,67879.1962787398,17456.0,34710,19046,16
2.37825563153793,9.43853222692393,29897.0515440634,12571.0,34729,19063,16
2.67837087089479,5.60458267616814,54041.4890620443,20177.0,34729,19062,16
5.77947963103516,39.63084768189,26394.8834749376,4567.0,34728,19063,16
4.46007164449576,14.2283446685376,50858.1969621852,11403.0,34728,19062,16
2.95024113062487,8.64669433094674,33573.744066511,11380.0,34723,19052,16
2.17189023120299,2.24876713864775,1492.08858883645,687.0,34707,19059,16
3.6277521777689,6.19769176303778,26497.101906424,7304.0,34707,19058,16
2.76198238436505,4.44839327434281,3143.13595340742,1138.0,34706,19059,16
4.68125363532108,8.38764350973795,29707.2355697476,6346.0,34706,19058,16
4.36838582764671,8.50267135915986,90858.0568292238,20799.0,34733,19063,16
2.98596472520214,9.84547869959512,2827.70859476643,947.0,34733,19062,16
3.7742169047271,4.81309637056838,29216.2130594925,7741.0,34732,19063,16
3.54968800328782,4.71347860505485,6350.39183788191,1789.0,34732,19062,16
2.43129696343737,16.4666828629297,12139.4657384428,4993.0,34718,19047,16
3.24433890777689,5.73104439723987,65671.9081712199,20242.0,34727,19047,16
3.03985394936677,6.55449926548213,42065.4989513374,13838.0,34727,19046,16
5.15983897357058,6.3544515536377,7058.65971584455,1368.0,34711,19043,16
3.59946481509505,5.4475030445598,16942.6808846524,4707.0,34711,19042,16
4.10049877251083,5.42112724745905,28883.9133535663,7044.0,34710,19043,16
3.20668681850244,4.87924478425274,26355.7589612716,8219.0,34710,19042,16
3.10477992585483,10.0612630973668,40433.5489744074,13023.0,34731,19047,16
3.10181602407468,9.73477924830719,62160.3931224567,20040.0,34731,19046,16
1.8931745934999,5.12888180760411,4219.88616891129,2229.0,34730,19047,16
2.37401805107743,10.3609153901089,7300.1055070631,3075.0,34730,19046,16
2.73195584830063,5.64289189722963,37400.4755632356,13690.0,34708,19045,16
2.86153018255257,6.86497595368247,32919.0432200848,11504.0,34708,19044,16
3.07524338711178,6.04006880276743,30540.2420774071,9931.0,34709,19045,16
5.65493776657989,21.9069248304649,2770.91950562415,490.0,34709,19044,16
2.73570908944187,4.76756382393818,39522.7892151667,14447.0,34724,19057,16
3.00445680811722,3.66948007657467,45265.1462710941,15066.0,34724,19056,16
3.45380768213844,6.09097067486522,48287.6852039776,13981.0,34725,19057,16
3.1082901148453,28.5135274643924,2654.47975807789,854.0,34725,19056,16
2.91620012848817,17.9439172890299,25047.2429035849,8589.0,34732,19057,16
3.34238813459724,20.6544925937785,44450.4198020086,13299.0,34732,19056,16
3.33617647584766,23.2824818137121,34556.11593683,10358.0,34733,19057,16
3.64429411616859,26.7135241654364,24128.8713431522,6621.0,34733,19056,16
2.36183092174877,12.881715470766,32768.0422083424,13874.0,34715,19047,16
2.31027375168757,9.42366700442123,13092.3213508134,5667.0,34715,19046,16
2.63349452823505,8.10568412895165,22413.6719298085,8511.0,34714,19047,16
2.78515303798033,8.23135833595127,31536.2878490513,11323.0,34714,19046,16
3.09660307555777,6.41353291574845,44674.6925710719,14427.0,34717,19051,16
