median,average,medianCount,pointCount,x,y,zoomLevel
2.5055604135061,4.43651933813013,2462.9658864765,983.0,18638,24020,16
2.41729853630807,10.4707653293327,7846.551048856,3246.0,18639,24031,16
3.11446580973792,14.3881757340245,1579.03416553712,507.0,18638,24030,16
2.13769259492354,4.40959328545522,3460.92431118121,1619.0,18644,24019,16
3.00721458421016,3.73003827530508,14446.6588625456,4804.0,18634,24024,16
3.34680976581723,4.43037676083724,12831.6686421432,3834.0,18634,24025,16
2.83067951146975,3.36346882713783,7218.23275424787,2550.0,18635,24024,16
2.22452685133768,2.75910138855402,954.322019223864,429.0,18626,24025,16
2.05047390235228,2.55038392334401,4461.83121151856,2176.0,18627,24024,16
2.99157795196481,3.60267977677332,11224.400475772,3752.0,18627,24025,16
2.53653321254639,14.3043442950952,7335.65405068417,2892.0,18639,24030,16
2.81581402609026,2.44350648356431,211.186051956769,75.0,18638,24021,16
2.64601639012667,2.76048005597834,18196.6547149011,6877.0,18639,24020,16
2.48247100331853,2.86286854732291,17804.2820358005,7172.0,18639,24021,16
1.6813738445656,1.7149209654754,97.5196829848049,58.0,18635,24025,16
3.63177799510399,5.56469358140681,9388.14611734382,2585.0,18638,24031,16
3.26483565663803,5.04513963499872,24531.9751239782,7514.0,18643,24042,16
2.91533273028915,8.62331726825801,19427.7773146469,6664.0,18643,24043,16
3.00837300468223,7.51614904388869,16840.8720802111,5598.0,18642,24042,16
2.16452337004849,8.16732697261241,7623.45130931079,3522.0,18642,24043,16
1.84010693629849,4.70489672607812,10245.71542131,5568.0,18630,24028,16
2.09031031288148,5.39566964945316,12592.029324798,6024.0,18630,24029,16
2.37767835244701,4.08347316523119,4788.64420182827,2014.0,18631,24028,16
2.83020405918943,7.01421466121087,8111.36483363691,2866.0,18631,24029,16
2.78107899403752,3.86794135384385,49533.7979628023,17811.0,18637,24034,16
2.38093903678396,9.23608267951469,11226.1275584364,4715.0,18637,24035,16
2.52651558272751,4.26568634115925,7791.77405713165,3084.0,18636,24034,16
3.36111054175954,5.11927229633223,55165.9073218993,16413.0,18636,24035,16
3.12111724640754,6.07411247341969,45793.0322392914,14672.0,18639,24038,16
3.24702071545959,5.58177923235294,10049.5291143474,3095.0,18639,24039,16
2.74099753723084,7.78022821446755,7691.23908946975,2806.0,18638,24038,16
2.88706760391438,4.56913623815303,31974.2737133517,11075.0,18638,24039,16
3.37382872386976,3.89113493597885,23029.754869135,6826.0,18642,24028,16
1.70568150840717,12.6592307266561,426.420377101792,250.0,18642,24029,16
3.24254312628532,3.53341430957584,30032.4344356546,9262.0,18643,24028,16
3.16889983291885,4.18858226848652,906.305352214791,286.0,18643,24029,16
4.78124042481341,3.78513739186951,449.436599932461,94.0,18649,24038,16
2.32494435265571,5.23734207729737,3215.39803972284,1383.0,18649,24039,16
2.55374011468283,4.87831795381412,20424.8134372333,7998.0,18648,24038,16
2.54516926057566,4.78215960744088,14308.9415829564,5622.0,18648,24039,16
2.82087337933627,4.19713140312085,34612.116364456,12270.0,18642,24024,16
2.32646802187483,3.59665399102165,27133.5965391261,11663.0,18642,24025,16
2.77832145121441,3.8793283847415,19909.4515194025,7166.0,18643,24024,16
4.47331637148779,4.56559192308801,501.011433606633,112.0,18643,24025,16
3.3505806117076,5.3992587072193,31904.2285846797,9522.0,18642,24032,16
3.33120156644062,4.24556151868394,25377.0935331447,7618.0,18642,24033,16
3.59803207944051,6.43822911975958,31860.5740634458,8855.0,18643,24032,16
2.27057771869213,15.8288156652239,1148.91232565822,506.0,18643,24033,16
4.95242702983467,39.2245289680647,2164.21061203775,437.0,18629,24042,16
3.86060018758751,5.10198121568273,60592.1199441859,15695.0,18629,24043,16
46.2694902894573,46.7598087325212,2914.97788823581,63.0,18628,24042,16
3.22556393432109,3.29795209385879,36719.8198283112,11384.0,18628,24043,16
2.39212486442519,4.0488458589488,4260.37438354126,1781.0,18640,24032,16
2.75208019094232,6.30074878842473,24163.2640764735,8780.0,18640,24033,16
3.90804501763597,6.09503353783967,25410.1087046691,6502.0,18641,24032,16
3.07135130035759,4.12401195605366,39906.0674455461,12993.0,18641,24033,16
2.66943222168424,6.61737359178275,17151.1020243213,6425.0,18634,24040,16
2.1133005090474,15.0641661392812,7891.064100783,3734.0,18634,24041,16
2.60550628164119,6.36876389310008,28256.7156243987,10845.0,18635,24040,16
2.35288586424361,20.3815749892582,5475.16540609487,2327.0,18635,24041,16
3.37879942263551,4.33251446512317,9325.48640647401,2760.0,18638,24028,16
3.27380784921933,5.28178572822741,33900.2802786662,10355.0,18638,24029,16
3.04576628402554,4.0056762964582,46566.7207164664,15289.0,18639,24028,16
2.69040566522718,6.45137337589354,13115.7276179825,4875.0,18639,24029,16
2.97896936447428,3.48915961237132,12267.3958429051,4118.0,18647,24042,16
3.6180415497178,5.41062457339051,8516.8698080357,2354.0,18647,24043,16
2.525401490816,4.16725320714632,5707.40736924415,2260.0,18646,24042,16
3.11053542576818,6.9612285193946,31761.6772325189,10211.0,18646,24043,16
3.48903990796855,6.59375553747001,4040.30821342758,1158.0,18642,24020,16
3.94078435456919,5.38683846888653,12090.3263998183,3068.0,18642,24021,16
3.54556579143261,5.08611582055803,11923.7377565879,3363.0,18643,24020,16
3.5432848681287,5.25582794152688,12869.2106410434,3632.0,18643,24021,16
2.33412940670044,2.88855377054618,30997.2385209819,13280.0,18627,24030,16
2.48960127747761,2.96082541778059,14325.1657506062,5754.0,18627,24031,16
3.14583755892133,4.57907282884852,7358.11405031698,2339.0,18626,24030,16
2.63260278165928,3.07687096239962,30245.9733584834,11489.0,18626,24031,16
2.44396375641908,4.35930604998873,28992.7420423996,11863.0,18639,24034,16
2.44923255095726,5.55492213036774,19246.0693854221,7858.0,18639,24035,16
2.98642837747614,8.08188979852824,39393.9767272878,13191.0,18638,24034,16
3.23801975725584,9.01529387753446,23119.4610668067,7140.0,18638,24035,16
3.55924296198222,15.6184738004607,24968.0893783053,7015.0,18633,24034,16
3.05594888960971,26.6763007556639,25746.3693949618,8425.0,18633,24035,16
3.2255639351114,6.21450343694233,2780.43611206602,862.0,18632,24034,16
2.75190846359612,6.64873773336302,16489.435513868,5992.0,18632,24035,16
2.22452685133768,10.732224252389,14488.3433827623,6513.0,18636,24044,16
2.32298416009487,7.59791952630004,13835.6936575251,5956.0,18636,24045,16
1.73234159410548,6.48032888798788,13671.6398606804,7892.0,18637,24044,16
2.38035383071442,6.13929824067839,29056.979211531,12207.0,18637,24045,16
477.182969642568,477.182969642568,8589.29345356623,18.0,18627,24050,16
399.457913295425,399.457913295425,29559.8855838614,74.0,18627,24051,16
2.58724015585382,2.75917210243357,16110.7444505018,6227.0,18626,24051,16
2.62328761053548,7.47968992685288,14047.7051544175,5355.0,18641,24046,16
2.60922622818211,7.49751442507365,15428.3546872408,5913.0,18641,24047,16
2.64413014773,8.92840545793994,15825.118934164,5985.0,18640,24046,16
2.54041749337467,8.60633595595161,4057.04673691935,1597.0,18640,24047,16
2.47333981385428,4.07640547904693,20066.2059097998,8113.0,18626,24036,16
2.72739809049791,4.03190845062044,17400.7998173767,6380.0,18626,24037,16
4.21760582982422,4.4748006189066,4559.23190203998,1081.0,18627,24036,16
1.35684179785167,2.28603601667709,274.082043166038,202.0,18627,24037,16
2.211144659069,2.79248712184437,18980.4657534483,8584.0,18648,24021,16
2.73466917177617,11.2321451758771,11890.3415588828,4348.0,18631,24038,16
2.35354253932437,11.6435640657212,17074.9511227983,7255.0,18631,24039,16
1.90387795227722,2.87303079236165,25037.8989503977,13151.0,18630,24038,16
1.7124003847403,2.29454906552044,24485.6131014015,14299.0,18630,24039,16
2.58998421419119,8.40801111536725,14729.2402261053,5687.0,18632,24028,16
3.22556393432109,36.220038379034,8309.05269481111,2576.0,18632,24029,16
2.46237196784055,11.6840611081127,21356.1520770811,8673.0,18633,24028,16
2.45858156374383,19.7729218706753,12022.4638467073,4890.0,18633,24029,16
2.21098569076172,3.31450974148767,4943.7640045432,2236.0,18642,24040,16
2.97821772515417,4.23517881046098,50174.0340156724,16847.0,18642,24041,16
3.85323341413804,4.21932528330813,14364.8541679066,3728.0,18643,24040,16
2.91939583951929,4.26564559630665,13405.8656950726,4592.0,18643,24041,16
1.59825138260251,1.96062749668463,129.458361990803,81.0,18647,24046,16
3.60256474973819,4.339794766523,5886.5908010722,1634.0,18647,24047,16
1.9097096758812,62.0349519386543,232.984580457506,122.0,18646,24046,16
3.10183644691497,3.97066865477743,23673.215762855,7632.0,18646,24047,16
2.36296363891854,2.66653222545603,22868.7620974536,9678.0,18651,24034,16
2.5569577030998,2.77149509537633,22925.6827659928,8966.0,18651,24035,16
2.86167417652771,3.3410843170074,1854.36486638996,648.0,18650,24034,16
1.76052570083845,3.79901077139358,4616.0983875984,2622.0,18638,24044,16
3.2370039515151,12.3898137702434,9743.38189406046,3010.0,18640,24036,16
3.34814302120023,7.15599445562192,12820.0396281757,3829.0,18640,24037,16
2.27458855684996,7.87113197588316,26526.2517499842,11662.0,18641,24036,16
2.62605780398987,5.67794353975104,37332.03774152,14216.0,18641,24037,16
2.78395469259099,3.9825164174839,56600.5828550675,20331.0,18638,24045,16
2.67635268247424,5.75300484649199,29372.9706901547,10975.0,18639,24044,16
2.80242191368605,3.21911553488752,28940.6111026358,10327.0,18640,24040,16
2.92961774656796,2.73299126927766,175.777064794078,60.0,18633,24014,16
2.66424440290416,4.63396662769619,4023.00904838528,1510.0,18633,24015,16
3.2395535496661,3.48550345436441,2620.79882167987,809.0,18632,24014,16
2.54772602418611,3.69837066414991,12216.3462859724,4795.0,18632,24015,16
2.52754261055408,5.90259729008398,25078.2777819176,9922.0,18639,24045,16
3.04566329903567,5.29254485067106,31476.9301955336,10335.0,18640,24041,16
2.97574381097823,6.97181403597097,47906.4996129386,16099.0,18641,24054,16
2.92759059314349,3.91911883227744,14714.0703211392,5026.0,18641,24040,16
2.5306830709551,9.03834081717035,10823.7314944749,4277.0,18641,24041,16
3.55854173489024,6.94439595815498,53442.1797745816,15018.0,18641,24055,16
2.13630412091789,3.21936894589873,433.669736546332,203.0,18640,24054,16
1.63236580234751,1.76203978277871,222.001749119261,136.0,18640,24055,16
2.77676637728462,3.1612568760526,33312.8662282836,11997.0,18627,24026,16
2.59400741318108,3.09764616397686,31441.9638551679,12121.0,18627,24027,16
2.24791393188542,2.63650245753553,24509.0055993467,10903.0,18651,24033,16
1.8650614693445,2.67042213711406,6255.41616818144,3354.0,18650,24028,16
2.84656567590354,3.59664164832211,22530.5673247765,7915.0,18650,24029,16
3.9829758599989,4.44001153080214,20858.8445788142,5237.0,18651,24028,16
3.62706257060141,4.27778858334831,11969.3064829847,3300.0,18651,24029,16
2.88912079857451,4.34074829067897,28004.2479005827,9693.0,18630,24055,16
2.26450482698809,3.1712374429813,1306.61928517213,577.0,18626,24026,16
3.2405337310158,2.72347662121007,816.614500215983,252.0,18626,24027,16
2.17563700916872,5.67149411779333,10007.9302421761,4600.0,18649,24030,16
10.1778354359192,37.685388896988,1496.14180908013,147.0,18649,24031,16
3.37036676980304,4.97800965235093,51785.6854180237,15365.0,18648,24030,16
3.03665762492509,4.01097130767948,19756.4945077626,6506.0,18648,24031,16
3.03417801545174,8.67301407261014,1374.48264099964,453.0,18627,24022,16
2.36478661759276,2.98618542115099,57606.2020045597,24360.0,18627,24023,16
3.114092395192,4.87259345248998,16881.4948743358,5421.0,18626,24022,16
3.5637657273588,5.36717152934605,23916.4317963049,6711.0,18626,24023,16
2.30847039914719,4.1474562254381,12188.7237074971,5280.0,18650,24032,16
2.859314265191,2.859314265191,174.418170176651,61.0,18650,24033,16
2.42991204092862,2.7914018251374,21434.2541130314,8821.0,18651,24032,16
6.37030103963409,6.62522640492069,127.406020792682,20.0,18646,24020,16
3.6716013572209,3.93514455273967,19268.5639226953,5248.0,18646,24021,16
2.57909067447286,3.26015238914654,14543.4923133525,5639.0,18647,24021,16
2.8564537537192,3.36477160267761,15636.2278478589,5474.0,18637,24038,16
4.01871896824928,4.26224506461565,25976.9994107633,6464.0,18646,24028,16
2.36851780870316,2.96678211413236,2489.31221694703,1051.0,18646,24029,16
3.42124504444881,5.00082486278649,17499.6684023556,5115.0,18637,24039,16
3.80456799475756,3.96139615643144,21103.9386669202,5547.0,18647,24028,16
1.95911111866086,4.64117950398641,483.900446309233,247.0,18647,24029,16
4.70238753976867,6.90577872172561,34463.7982789646,7329.0,18636,24038,16
2.51327156175906,6.74788872794875,21352.755188705,8496.0,18636,24039,16
1.84372309290771,3.33914925364559,547.585758593589,297.0,18628,24024,16
2.89104999354069,7.42950172091658,11211.4918749508,3878.0,18628,24025,16
3.29982433914268,18.8958308421081,2075.58950932074,629.0,18629,24024,16
3.70701477674923,7.48860955629568,13901.3054128096,3750.0,18651,24046,16
3.4335426979882,3.53195422269732,4841.29520416336,1410.0,18651,24047,16
2.31538366393513,7.88697789499576,6966.98944478081,3009.0,18650,24046,16
2.25449592388162,4.44362262101871,1048.34060460495,465.0,18650,24047,16
