median,average,medianCount,pointCount,x,y,zoomLevel
2.13388663824886,6.95314573535346,283.806922887099,133.0,34092,23894,16
3.33679027661136,4.26405907791396,20878.2967607573,6257.0,34078,23892,16
4.6088341465858,6.20387300434941,21984.1388792143,4770.0,34072,23902,16
3.64522687908481,4.69833701508964,601.462435048994,165.0,34079,23891,16
2.57958991781762,3.4399600000975,5602.86930149988,2172.0,34079,23890,16
2.24721874222167,2.87950725567377,7451.77734920706,3316.0,34078,23891,16
2.10521459639516,3.47384045374654,4559.89481579192,2166.0,34078,23890,16
3.40733081069473,5.12101922940449,28338.770352548,8317.0,34078,23901,16
2.69195468513844,3.20433122290871,8363.90320672512,3107.0,34078,23900,16
3.09524537400572,4.58575282035594,13947.1756552698,4506.0,34079,23901,16
3.10691457608219,4.50029105076289,8559.54965710643,2755.0,34075,23907,16
2.71752977486724,3.98293546511853,10848.37886127,3992.0,34075,23906,16
2.53562235073545,3.10944542298933,5385.6618729621,2124.0,34074,23907,16
2.52945480498932,3.05341002935457,4373.42735782654,1729.0,34074,23906,16
3.26575969465837,5.54327665676061,382.09388427503,117.0,34081,23905,16
2.67181432632872,3.7718057358149,13198.7627720639,4940.0,34089,23895,16
2.52252724967801,2.56181236007693,88.2884537387305,35.0,34089,23894,16
2.4746018643672,3.08523551162869,12603.1472952221,5093.0,34088,23895,16
14.4631109193975,29.065542863401,723.155545969875,50.0,34088,23894,16
2.12188692544886,5.31779073797123,8124.70503754369,3829.0,34081,23904,16
2.10890878116866,2.79938651950014,18499.3478284115,8772.0,34078,23898,16
1.91514923173577,2.42872008054213,2729.08765522346,1425.0,34078,23895,16
2.73948930291247,7.57370625069757,723.225175968891,264.0,34086,23901,16
2.40343319135021,4.90999691698883,2658.19710963334,1106.0,34086,23900,16
2.224080779141,2.88666882042507,9870.47049782776,4438.0,34087,23901,16
2.56404815137142,5.09220174826112,17843.2110853937,6959.0,34087,23900,16
2.79746924134542,3.38067031476379,42143.8741208687,15065.0,34073,23903,16
2.59503494962427,3.73743168401362,31034.0229625567,11959.0,34089,23891,16
2.18496192527444,3.5288519596187,38553.6531714675,17645.0,34089,23890,16
223.404383950433,223.404383950433,446.808767900866,2.0,34088,23890,16
3.0844435547158,3.81802989023538,348.542121682885,113.0,34091,23895,16
2.3670393965577,4.50930368395398,9345.07153760981,3948.0,34091,23894,16
1.73046454072611,2.44647734202721,3391.71049982317,1960.0,34075,23899,16
2.21779976111489,3.00754918823825,6194.31473279389,2793.0,34075,23898,16
3.76700348752614,4.44599701720968,3533.44927129951,938.0,34074,23899,16
3.61913160052095,4.57906192683545,3329.60107247927,920.0,34074,23898,16
2.49242261507568,3.27203970247953,8444.32781987641,3388.0,34090,23895,16
2.64706717015896,3.69011129982944,18434.175772987,6964.0,34090,23894,16
3.29591108379886,4.26483575785702,121.948710100558,37.0,34079,23900,16
2.05090803781713,5.51793415227973,9083.47169949208,4429.0,34077,23907,16
2.70146257685142,3.0846193067089,5570.41583346764,2062.0,34081,23891,16
3.25438568894144,3.90439537524988,26113.1907680661,8024.0,34081,23890,16
4.64541878960754,4.72876611809531,16505.1729594756,3553.0,34080,23891,16
2.45377928511864,3.12198507692299,8470.44609222955,3452.0,34080,23890,16
2.79817098557329,3.6855314451227,263.028072643889,94.0,34079,23893,16
3.17546248496265,4.3793801580732,30522.545405461,9612.0,34079,23892,16
3.34365739400798,4.57167552480563,40799.3075216854,12202.0,34073,23891,16
4.44270031704852,5.29637730217987,21053.9568024929,4739.0,34093,23891,16
2.2456920155619,3.11901298678212,7051.47292886436,3140.0,34083,23907,16
2.7655199870952,6.01815403192994,15733.0432065846,5689.0,34083,23906,16
2.7076848301277,2.74080630283832,159.753404977534,59.0,34082,23906,16
2.7356161411474,7.38646390686985,30660.7857099801,11208.0,34087,23899,16
2.36252407157614,9.29071506959489,6459.14081168916,2734.0,34087,23898,16
2.27130606140774,2.8243116179807,1907.8970915825,840.0,34086,23899,16
2.44288484391762,3.47938348252291,7062.38008376583,2891.0,34086,23898,16
3.3722692592819,4.23516954291637,20017.7903230974,5936.0,34093,23890,16
4.55648277542715,5.26351423092222,23620.8067078144,5184.0,34092,23891,16
4.07784749948121,5.40110448833297,20515.65076989,5031.0,34092,23890,16
2.26124510407224,4.80123013338356,8477.40789516685,3749.0,34077,23906,16
2.44769968296158,3.40041037616612,6337.09447918753,2589.0,34076,23907,16
2.77061680962354,4.8494662395836,14836.6530155341,5355.0,34076,23906,16
2.93175308014897,4.63358983024555,58104.4142954724,19819.0,34081,23895,16
2.29149123000827,4.17400977768929,37410.8858211151,16326.0,34081,23894,16
2.07782557726065,2.72293977798736,332.452092361704,160.0,34080,23895,16
1.90462624784162,2.12689503054134,2015.09457021644,1058.0,34080,23894,16
2.11106817849203,3.33584311246909,1211.75313445443,574.0,34084,23901,16
3.04577642438807,3.97967428924887,41873.3342824871,13748.0,34072,23901,16
2.80968761653299,3.45059473880441,46725.1050629436,16630.0,34072,23900,16
3.54500096360634,4.20388201262517,10822.8879418901,3053.0,34073,23901,16
2.78501884582172,4.88766102169882,7249.40405567394,2603.0,34073,23900,16
2.51340941508452,2.92038382073906,9063.35435079479,3606.0,34084,23900,16
2.05576502050785,3.02277326129224,14478.7530394368,7043.0,34085,23901,16
2.187273046347,3.56287970784543,5275.70258778898,2412.0,34085,23900,16
1.9547585051558,2.5832222820692,1587.26390618651,812.0,34083,23896,16
2.14161335500045,4.09530687778956,6598.31074675639,3081.0,34079,23899,16
1.8980613829018,2.37877916152853,3532.29223358026,1861.0,34079,23898,16
